COD_RESTAURANTE,NOME,CATEGORIA,DESCRICAO,ENDERECO,IMAGEM
1,"Sr. Moustache's",Hamburgueria,"Aqui você poderá pedir nossos hamburgueres deliciosos, com qualidade e sabor inigualaveis quer experimentar?","Rua Waldomiro Fernandes 237",.
2,"Espetaria Jardim do Lago",Espetaria,"Os espetinhos são anotados individualmente e preparados no momento do pedido, temos 26 tipos incluindo vegano, doces e premium, que variam de preços. Também servimos porções, caipirinhas, bebidas alcoólicas e não alcoólicas. Um ambiente agradável e amigável a todas as pessoas.","Castelo Branco 777",.
3,"Tia Augusta",Restaurante,"TIA AUGUSTA BAR E RESTAURANTE LTDA","Waldomiro Fernandes, 237",.
4,"Restaurante Pinheiros",Restaurante,"O Melhor da Comida Caseira! Preço justo e qualidade incomparavel!","RUA WALDOMIRO FERNANDES, 282",.
6,"Kass Pizzaria",Pizzaria,"Só pizza top, ótimo ingredientes e qualidade inigualavel.","RUA JOÃO BORGES, 138",.
7,"2D espetaria",Espetaria,"espetaria "," RUA JOÃO BORGES, 133",.
8,"Ops Hamburgueria ",Lanchonete,"Ops Hamburgueria foi criada em 2018 com a missao de oferecer  a você um hamburguer artesanal com ingredientes de qualidade e burguer de tomanho da sua fome.","RUA JOÃO BORGES, 439",.
9,"Planet Pizza",Pizzaria,"Abre domingo as 18:30","RUA JOÃO BORGES, 536",.
10,Ki-Recheio,"Salgados de Festas e Bebidas","Salgados in Geral","RUA BLAISE PASCAL, 226",.
11,"Pó de Lua",Doceria,"desde 2014 levando delícias a sua casa e as suas festas","RUA ALFRED BERNHARD NOBEL, 43",.
12,"The Best Açai",Açaiteria,"O The Best Açai é a maior rede de açai self-service do mundo! Açai do seu jeito em casa!!","RUA ALFRED BERNHARD NOBEL, 1",.
13,"Açougue Restaurante",Açougue,"açougue e restaurante","AVENIDA ARTHUR THOMAS, 815",.
14,"Jack Pizzaria",Pizzaria,"Pizza Grande, Combo familia pizza big, mais broto, pizza grande 60cm","RUA SERRA DOS PARECIS, 205",.
15,"Restaurante Cozinha Paraense",Restaurante,"O Cozinha Paraense traz, grandes novidades da culinaria Amazonica disponiveis in Londrina, pratos tipicos do norte do Brasil.","RUA SOROCABA, 685",.
16,"Mauros lanches",Lanchonete,Lanchonete,"ARTHUR THOMAS, 830",.
17,"PIZZARIA E CASA DE MASSAS LAZANHETE",Pizzaria,"pizzaria, e casa de massas ","ARTHUR THOMAS, 1020",.
18,"Caseiro Grill",Restaurante,"Marmitas de qualidade com tempero caseiro há quase 30 anos in Londrina.","ARTHUR THOMAS, 1050",.
19,O’VIEIRA,"Massas Artesanais","Massas Artesanais","ARTHUR THOMAS, 1058",.
21,"Costela na Brasa",Restaurante,"sei la?","RUA SERRA DA TABATINGA, 1028",.
23,"VIVI MOIMESSO",Doceria,"100% Natural livre de conservantes e industrializados","AVENIDA SERRA ESPERANÇA, 930",.
24,"Seband Paes",Padaria,"Tem pão","AVENIDA SERRA ESPERANÇA, 988",.
26,"Casa da Pizza",Pizzaria,"melhor pizzaria da região","AVENIDA SERRA ESPERANÇA, 1000",.
27,"ESTAÇÃO 18 ESPETARIA",Espetaria,"Espetinhos, porções e lanches.","RUA SERRA DOIS IRMÃOS, 275",.
28,"BIG DOG LANCHES",Lanchonete,"Nada mlhor que lanche quando bate aquela fome não é memo? Experimente as nossas opções e garantimos que ficará surpreendido!","RUA SERRA GRANDE, 279",.
29,"SR.HOT DOG",Lanchonete,"Há mais de uma década preparando lanche com sabor e capricho. No Sr.Hot Dog, voc^encontra hot dogs bem sevidos Dog Burguer Queijo, proções e refeições para matar a fome no jantar. Ingredientes combinados com o padrão da casa e opções para diferentes momentos. Escolha seu hot dog ou burguer favorito, complete o pedido com uma porção.","SERRA DO MARACAJU, 1750",.
30,BIGGS,Lanchonete,"Biggs, hot dog prensado, burguer artesanal, combo lanche, pastel frito, pizza salgada e doce, etc.","AV. ARTHUR THOMAS, 1248",
31,"RATINHO LANCHES",Lanchonete,"Aqui você encontra os melhores lanches preparados com a qualidade que você merece!","AV.ARTHUR THOMAS, 1406",
32,"PIZZARIA FRANGOSO",Pizzaria,"Pizzaria Frangoso é mais recheio é mais gostoso!!","ARTHUR THOMAS, 1494",
